Category,Topic ID,Topic Title,Service Team,Success (Y),Pending (N),Total,Compliance %
--- DETAILED BREAKDOWN (TOPIC + TEAM) ---,,,,,,,
Detailed,1.0,IT Asset incomplete information,Branch,215.0,31.0,246.0,87.40%
Detailed,1.0,IT Asset incomplete information,HO,60.0,0.0,60.0,100.00%
Detailed,1.0,IT Asset incomplete information,DC,38.0,0.0,38.0,100.00%
Detailed,2.0,Update OS - Replace,Branch,34.0,7531.0,7565.0,0.45%
Detailed,2.0,Update OS - Replace,HO,240.0,2451.0,2691.0,8.92%
Detailed,2.0,Update OS - Replace,DC,78.0,785.0,863.0,9.04%
Detailed,3.0,Require Restart,Branch,774.0,24.0,798.0,96.99%
Detailed,3.0,Require Restart,HO,1259.0,95.0,1354.0,92.98%
Detailed,3.0,Require Restart,DC,225.0,7.0,232.0,96.98%
Detailed,4.0,Antivirus not Install,Branch,78.0,251.0,329.0,23.71%
Detailed,4.0,Antivirus not Install,HO,268.0,0.0,268.0,100.00%
Detailed,4.0,Antivirus not Install,DC,20.0,14.0,34.0,58.82%
Detailed,5.0,Built-in Firewall are not enable,Branch,4067.0,584.0,4651.0,87.44%
Detailed,5.0,Built-in Firewall are not enable,HO,1306.0,94.0,1400.0,93.29%
Detailed,5.0,Built-in Firewall are not enable,DC,859.0,63.0,922.0,93.17%
Detailed,6.0,Client devices are not joined to the domain,Branch,61.0,83.0,144.0,42.36%
Detailed,6.0,Client devices are not joined to the domain,HO,303.0,71.0,374.0,81.02%
Detailed,6.0,Client devices are not joined to the domain,DC,16.0,2.0,18.0,88.89%
Detailed,7.0,Privileged User management,Branch,1083.0,776.0,1859.0,58.26%
Detailed,7.0,Privileged User management,HO,810.0,139.0,949.0,85.35%
Detailed,7.0,Privileged User management,DC,196.0,169.0,365.0,53.70%
Detailed,8.0,Document request privileged user,Branch,0.0,3.0,3.0,0.00%
Detailed,8.0,Document request privileged user,HO,3.0,0.0,3.0,100.00%
Detailed,8.0,Document request privileged user,DC,1.0,2.0,3.0,33.33%
,,,,,,,
--- SUMMARY BY TOPIC ---,,,,,,,
Topic Summary,1.0,IT Asset incomplete information,,313.0,31.0,344.0,90.99%
Topic Summary,2.0,Update OS - Replace,,352.0,10767.0,11119.0,3.17%
Topic Summary,3.0,Require Restart,,2258.0,126.0,2384.0,94.71%
Topic Summary,4.0,Antivirus not Install,,366.0,265.0,631.0,58.00%
Topic Summary,5.0,Built-in Firewall are not enable,,6232.0,741.0,6973.0,89.37%
Topic Summary,6.0,Client devices are not joined to the domain,,380.0,156.0,536.0,70.90%
Topic Summary,7.0,Privileged User management,,2089.0,1084.0,3173.0,65.84%
Topic Summary,8.0,Document request privileged user,,4.0,5.0,9.0,44.44%
,,,,,,,
--- SUMMARY BY SERVICE TEAM ---,,,,,,,
Team Summary,,,Branch,6312.0,9283.0,15595.0,40.47%
Team Summary,,,HO,4249.0,2850.0,7099.0,59.85%
Team Summary,,,DC,1433.0,1042.0,2475.0,57.90%
,,,,,,,
--- GRAND TOTAL PROJECT ---,,,,,,,
GRAND TOTAL,,,,11994.0,13175.0,25169.0,47.65%
